date,product_id,initial_stock,daily_restock,warehouse_id
2023-01-30,Lakme Absolute Skin Natural Mousse,774,0,W1
2023-01-31,Lakme Absolute Skin Natural Mousse,743,50,W3
2023-02-01,Lakme Absolute Skin Natural Mousse,906,0,W3
2023-02-02,Lakme Absolute Skin Natural Mousse,594,0,W3
2023-02-03,Lakme Absolute Skin Natural Mousse,918,200,W2
2023-02-04,Lakme Absolute Skin Natural Mousse,734,0,W2
2023-02-05,Lakme Absolute Skin Natural Mousse,1065,100,W2
2023-02-06,Lakme Absolute Skin Natural Mousse,832,0,W3
2023-02-07,Lakme Absolute Skin Natural Mousse,840,0,W2
2023-02-08,Lakme Absolute Skin Natural Mousse,668,100,W2
2023-02-09,Lakme Absolute Skin Natural Mousse,808,0,W2
2023-02-10,Lakme Absolute Skin Natural Mousse,798,0,W1
2023-02-11,Lakme Absolute Skin Natural Mousse,500,50,W2
2023-02-12,Lakme Absolute Skin Natural Mousse,836,200,W1
2023-02-13,Lakme Absolute Skin Natural Mousse,1006,100,W2
2023-02-14,Lakme Absolute Skin Natural Mousse,707,0,W1
2023-02-15,Lakme Absolute Skin Natural Mousse,1072,0,W1
2023-02-16,Lakme Absolute Skin Natural Mousse,500,50,W1
2023-02-17,Lakme Absolute Skin Natural Mousse,847,0,W2
2023-02-18,Lakme Absolute Skin Natural Mousse,925,0,W2
2023-02-19,Lakme Absolute Skin Natural Mousse,1117,50,W3
2023-02-20,Lakme Absolute Skin Natural Mousse,641,50,W3
2023-02-21,Lakme Absolute Skin Natural Mousse,1281,50,W1
2023-02-22,Lakme Absolute Skin Natural Mousse,801,0,W1
2023-02-23,Lakme Absolute Skin Natural Mousse,718,0,W2
2023-02-24,Lakme Absolute Skin Natural Mousse,1133,50,W3
2023-02-25,Lakme Absolute Skin Natural Mousse,779,200,W2
2023-02-26,Lakme Absolute Skin Natural Mousse,840,50,W1
2023-02-27,Lakme Absolute Skin Natural Mousse,567,0,W1
2023-02-28,Lakme Absolute Skin Natural Mousse,646,0,W3
2023-03-01,Lakme Absolute Skin Natural Mousse,689,50,W2
2023-03-02,Lakme Absolute Skin Natural Mousse,869,0,W2
2023-03-03,Lakme Absolute Skin Natural Mousse,850,0,W2
2023-03-04,Lakme Absolute Skin Natural Mousse,573,0,W3
2023-03-05,Lakme Absolute Skin Natural Mousse,1106,100,W1
2023-03-06,Lakme Absolute Skin Natural Mousse,779,50,W2
2023-03-07,Lakme Absolute Skin Natural Mousse,612,0,W2
2023-03-08,Lakme Absolute Skin Natural Mousse,840,50,W1
2023-03-09,Lakme Absolute Skin Natural Mousse,500,100,W1
2023-03-10,Lakme Absolute Skin Natural Mousse,990,50,W1
2023-03-11,Lakme Absolute Skin Natural Mousse,671,0,W3
2023-03-12,Lakme Absolute Skin Natural Mousse,966,200,W3
2023-03-13,Lakme Absolute Skin Natural Mousse,974,50,W2
2023-03-14,Lakme Absolute Skin Natural Mousse,706,0,W3
2023-03-15,Lakme Absolute Skin Natural Mousse,697,0,W3
2023-03-16,Lakme Absolute Skin Natural Mousse,569,0,W1
2023-03-17,Lakme Absolute Skin Natural Mousse,876,0,W1
2023-03-18,Lakme Absolute Skin Natural Mousse,807,0,W1
2023-03-19,Lakme Absolute Skin Natural Mousse,563,0,W2
2023-03-20,Lakme Absolute Skin Natural Mousse,789,0,W2
2023-03-21,Lakme Absolute Skin Natural Mousse,765,50,W1
2023-03-22,Lakme Absolute Skin Natural Mousse,881,0,W1
2023-03-23,Lakme Absolute Skin Natural Mousse,890,0,W3
2023-03-24,Lakme Absolute Skin Natural Mousse,614,100,W1
2023-03-25,Lakme Absolute Skin Natural Mousse,1041,0,W1
2023-03-26,Lakme Absolute Skin Natural Mousse,697,200,W3
2023-03-27,Lakme Absolute Skin Natural Mousse,500,50,W3
2023-03-28,Lakme Absolute Skin Natural Mousse,748,0,W3
2023-03-29,Lakme Absolute Skin Natural Mousse,969,0,W2
2023-03-30,Lakme Absolute Skin Natural Mousse,650,0,W1
2023-03-31,Lakme Absolute Skin Natural Mousse,839,0,W2
2023-04-01,Lakme Absolute Skin Natural Mousse,693,0,W2
2023-04-02,Lakme Absolute Skin Natural Mousse,577,0,W3
2023-04-03,Lakme Absolute Skin Natural Mousse,500,0,W3
2023-04-04,Lakme Absolute Skin Natural Mousse,917,0,W1
2023-04-05,Lakme Absolute Skin Natural Mousse,501,0,W1
2023-04-06,Lakme Absolute Skin Natural Mousse,973,0,W2
2023-04-07,Lakme Absolute Skin Natural Mousse,905,0,W3
2023-04-08,Lakme Absolute Skin Natural Mousse,1157,50,W1
2023-04-09,Lakme Absolute Skin Natural Mousse,775,50,W2
2023-04-10,Lakme Absolute Skin Natural Mousse,504,50,W2
2023-04-11,Lakme Absolute Skin Natural Mousse,620,0,W2
2023-04-12,Lakme Absolute Skin Natural Mousse,985,50,W3
2023-04-13,Lakme Absolute Skin Natural Mousse,626,50,W3
2023-04-14,Lakme Absolute Skin Natural Mousse,940,0,W3
2023-04-15,Lakme Absolute Skin Natural Mousse,905,0,W1
2023-04-16,Lakme Absolute Skin Natural Mousse,912,0,W3
2023-04-17,Lakme Absolute Skin Natural Mousse,551,0,W1
2023-04-18,Lakme Absolute Skin Natural Mousse,884,50,W2
2023-04-19,Lakme Absolute Skin Natural Mousse,885,50,W3
2023-04-20,Lakme Absolute Skin Natural Mousse,868,50,W1
2023-04-21,Lakme Absolute Skin Natural Mousse,543,0,W3
2023-04-22,Lakme Absolute Skin Natural Mousse,1288,100,W3
2023-04-23,Lakme Absolute Skin Natural Mousse,761,0,W2
2023-04-24,Lakme Absolute Skin Natural Mousse,1064,0,W3
2023-04-25,Lakme Absolute Skin Natural Mousse,953,50,W3
2023-04-26,Lakme Absolute Skin Natural Mousse,1184,0,W1
2023-04-27,Lakme Absolute Skin Natural Mousse,825,0,W2
2023-04-28,Lakme Absolute Skin Natural Mousse,937,50,W3
2023-04-29,Lakme Absolute Skin Natural Mousse,500,0,W2
2023-04-30,Lakme Absolute Skin Natural Mousse,663,50,W3
2023-05-01,Lakme Absolute Skin Natural Mousse,509,0,W1
2023-05-02,Lakme Absolute Skin Natural Mousse,654,50,W3
2023-05-03,Lakme Absolute Skin Natural Mousse,842,100,W2
2023-05-04,Lakme Absolute Skin Natural Mousse,1078,200,W3
2023-05-05,Lakme Absolute Skin Natural Mousse,1216,50,W2
2023-05-06,Lakme Absolute Skin Natural Mousse,925,0,W3
2023-05-07,Lakme Absolute Skin Natural Mousse,653,100,W3
2023-05-08,Lakme Absolute Skin Natural Mousse,925,100,W3
2023-05-09,Lakme Absolute Skin Natural Mousse,872,0,W1
2023-05-10,Lakme Absolute Skin Natural Mousse,962,50,W3
2023-05-11,Lakme Absolute Skin Natural Mousse,1102,0,W3
2023-05-12,Lakme Absolute Skin Natural Mousse,1028,100,W2
2023-05-13,Lakme Absolute Skin Natural Mousse,706,0,W2
2023-05-14,Lakme Absolute Skin Natural Mousse,573,0,W3
2023-05-15,Lakme Absolute Skin Natural Mousse,764,50,W2
2023-05-16,Lakme Absolute Skin Natural Mousse,500,200,W3
2023-05-17,Lakme Absolute Skin Natural Mousse,681,0,W3
2023-05-18,Lakme Absolute Skin Natural Mousse,880,0,W2
2023-05-19,Lakme Absolute Skin Natural Mousse,588,100,W2
2023-05-20,Lakme Absolute Skin Natural Mousse,864,100,W3
2023-05-21,Lakme Absolute Skin Natural Mousse,900,0,W3
2023-05-22,Lakme Absolute Skin Natural Mousse,684,0,W3
2023-05-23,Lakme Absolute Skin Natural Mousse,921,50,W2
2023-05-24,Lakme Absolute Skin Natural Mousse,988,0,W3
2023-05-25,Lakme Absolute Skin Natural Mousse,1070,0,W1
2023-05-26,Lakme Absolute Skin Natural Mousse,1015,50,W2
2023-05-27,Lakme Absolute Skin Natural Mousse,873,0,W2
2023-05-28,Lakme Absolute Skin Natural Mousse,847,0,W1
2023-05-29,Lakme Absolute Skin Natural Mousse,942,0,W1
2023-05-30,Lakme Absolute Skin Natural Mousse,1096,50,W3
2023-05-31,Lakme Absolute Skin Natural Mousse,1122,0,W3
2023-06-01,Lakme Absolute Skin Natural Mousse,926,50,W1
2023-06-02,Lakme Absolute Skin Natural Mousse,846,0,W2
2023-06-03,Lakme Absolute Skin Natural Mousse,791,100,W2
2023-06-04,Lakme Absolute Skin Natural Mousse,1177,0,W2
2023-06-05,Lakme Absolute Skin Natural Mousse,500,0,W1
2023-06-06,Lakme Absolute Skin Natural Mousse,530,100,W1
2023-06-07,Lakme Absolute Skin Natural Mousse,727,0,W1
2023-06-08,Lakme Absolute Skin Natural Mousse,779,50,W1
2023-06-09,Lakme Absolute Skin Natural Mousse,875,0,W1
2023-06-10,Lakme Absolute Skin Natural Mousse,943,0,W1
2023-06-11,Lakme Absolute Skin Natural Mousse,955,0,W2
2023-06-12,Lakme Absolute Skin Natural Mousse,851,50,W3
2023-06-13,Lakme Absolute Skin Natural Mousse,773,50,W3
2023-06-14,Lakme Absolute Skin Natural Mousse,832,50,W2
2023-06-15,Lakme Absolute Skin Natural Mousse,646,0,W3
2023-06-16,Lakme Absolute Skin Natural Mousse,604,50,W3
2023-06-17,Lakme Absolute Skin Natural Mousse,960,0,W2
2023-06-18,Lakme Absolute Skin Natural Mousse,783,50,W1
2023-06-19,Lakme Absolute Skin Natural Mousse,784,0,W3
2023-06-20,Lakme Absolute Skin Natural Mousse,882,200,W3
2023-06-21,Lakme Absolute Skin Natural Mousse,716,50,W2
2023-06-22,Lakme Absolute Skin Natural Mousse,1072,0,W1
2023-06-23,Lakme Absolute Skin Natural Mousse,926,0,W1
2023-06-24,Lakme Absolute Skin Natural Mousse,512,0,W1
2023-06-25,Lakme Absolute Skin Natural Mousse,729,50,W3
2023-06-26,Lakme Absolute Skin Natural Mousse,883,0,W2
2023-06-27,Lakme Absolute Skin Natural Mousse,808,0,W2
2023-06-28,Lakme Absolute Skin Natural Mousse,606,50,W2
2023-06-29,Lakme Absolute Skin Natural Mousse,944,100,W3
2023-06-30,Lakme Absolute Skin Natural Mousse,650,0,W2
2023-07-01,Lakme Absolute Skin Natural Mousse,582,50,W3
2023-07-02,Lakme Absolute Skin Natural Mousse,743,50,W3
2023-07-03,Lakme Absolute Skin Natural Mousse,742,0,W2
2023-07-04,Lakme Absolute Skin Natural Mousse,588,50,W3
2023-07-05,Lakme Absolute Skin Natural Mousse,853,50,W1
2023-07-06,Lakme Absolute Skin Natural Mousse,762,0,W2
2023-07-07,Lakme Absolute Skin Natural Mousse,1142,0,W3
2023-07-08,Lakme Absolute Skin Natural Mousse,684,0,W2
2023-07-09,Lakme Absolute Skin Natural Mousse,990,50,W1
2023-07-10,Lakme Absolute Skin Natural Mousse,646,0,W1
2023-07-11,Lakme Absolute Skin Natural Mousse,566,50,W1
2023-07-12,Lakme Absolute Skin Natural Mousse,749,100,W3
2023-07-13,Lakme Absolute Skin Natural Mousse,938,0,W3
2023-07-14,Lakme Absolute Skin Natural Mousse,1086,100,W3
2023-07-15,Lakme Absolute Skin Natural Mousse,692,50,W1
2023-07-16,Lakme Absolute Skin Natural Mousse,690,0,W3
2023-07-17,Lakme Absolute Skin Natural Mousse,553,0,W3
2023-07-18,Lakme Absolute Skin Natural Mousse,845,50,W3
2023-07-19,Lakme Absolute Skin Natural Mousse,531,100,W1
2023-07-20,Lakme Absolute Skin Natural Mousse,956,0,W1
2023-07-21,Lakme Absolute Skin Natural Mousse,606,50,W3
2023-07-22,Lakme Absolute Skin Natural Mousse,578,0,W3
2023-07-23,Lakme Absolute Skin Natural Mousse,775,0,W3
2023-07-24,Lakme Absolute Skin Natural Mousse,581,50,W2
2023-07-25,Lakme Absolute Skin Natural Mousse,909,0,W2
2023-07-26,Lakme Absolute Skin Natural Mousse,1034,0,W1
2023-07-27,Lakme Absolute Skin Natural Mousse,716,200,W1
2023-07-28,Lakme Absolute Skin Natural Mousse,1040,0,W2
2023-07-29,Lakme Absolute Skin Natural Mousse,1044,0,W2
2023-07-30,Lakme Absolute Skin Natural Mousse,500,100,W1
2023-07-31,Lakme Absolute Skin Natural Mousse,500,50,W1
2023-08-01,Lakme Absolute Skin Natural Mousse,1086,0,W3
2023-08-02,Lakme Absolute Skin Natural Mousse,653,100,W2
2023-08-03,Lakme Absolute Skin Natural Mousse,719,0,W2
2023-08-04,Lakme Absolute Skin Natural Mousse,599,0,W2
2023-08-05,Lakme Absolute Skin Natural Mousse,931,0,W2
2023-08-06,Lakme Absolute Skin Natural Mousse,941,0,W2
2023-08-07,Lakme Absolute Skin Natural Mousse,1156,0,W2
2023-08-08,Lakme Absolute Skin Natural Mousse,913,0,W3
2023-08-09,Lakme Absolute Skin Natural Mousse,500,50,W2
2023-08-10,Lakme Absolute Skin Natural Mousse,646,100,W1
2023-08-11,Lakme Absolute Skin Natural Mousse,1014,0,W1
2023-08-12,Lakme Absolute Skin Natural Mousse,1104,0,W1
2023-08-13,Lakme Absolute Skin Natural Mousse,1004,0,W2
2023-08-14,Lakme Absolute Skin Natural Mousse,779,100,W2
2023-08-15,Lakme Absolute Skin Natural Mousse,574,100,W2
2023-08-16,Lakme Absolute Skin Natural Mousse,537,50,W1
2023-08-17,Lakme Absolute Skin Natural Mousse,999,100,W1
2023-08-18,Lakme Absolute Skin Natural Mousse,1009,200,W2
2023-08-19,Lakme Absolute Skin Natural Mousse,796,0,W1
2023-08-20,Lakme Absolute Skin Natural Mousse,869,0,W3
2023-08-21,Lakme Absolute Skin Natural Mousse,736,0,W2
2023-08-22,Lakme Absolute Skin Natural Mousse,616,50,W1
2023-08-23,Lakme Absolute Skin Natural Mousse,942,50,W3
2023-08-24,Lakme Absolute Skin Natural Mousse,1022,50,W1
2023-08-25,Lakme Absolute Skin Natural Mousse,500,0,W1
2023-08-26,Lakme Absolute Skin Natural Mousse,960,0,W1
2023-08-27,Lakme Absolute Skin Natural Mousse,600,0,W2
2023-08-28,Lakme Absolute Skin Natural Mousse,877,0,W2
2023-08-29,Lakme Absolute Skin Natural Mousse,989,0,W1
2023-08-30,Lakme Absolute Skin Natural Mousse,767,50,W2
2023-08-31,Lakme Absolute Skin Natural Mousse,500,50,W1
2023-09-01,Lakme Absolute Skin Natural Mousse,950,0,W2
2023-09-02,Lakme Absolute Skin Natural Mousse,740,200,W3
2023-09-03,Lakme Absolute Skin Natural Mousse,681,0,W2
2023-09-04,Lakme Absolute Skin Natural Mousse,525,0,W3
2023-09-05,Lakme Absolute Skin Natural Mousse,935,0,W1
2023-09-06,Lakme Absolute Skin Natural Mousse,657,0,W2
2023-09-07,Lakme Absolute Skin Natural Mousse,580,0,W3
2023-09-08,Lakme Absolute Skin Natural Mousse,500,0,W1
2023-09-09,Lakme Absolute Skin Natural Mousse,1412,50,W2
2023-09-10,Lakme Absolute Skin Natural Mousse,666,0,W2
2023-09-11,Lakme Absolute Skin Natural Mousse,500,50,W2
2023-09-12,Lakme Absolute Skin Natural Mousse,989,100,W3
2023-09-13,Lakme Absolute Skin Natural Mousse,779,100,W3
2023-09-14,Lakme Absolute Skin Natural Mousse,835,50,W3
2023-09-15,Lakme Absolute Skin Natural Mousse,948,0,W1
2023-09-16,Lakme Absolute Skin Natural Mousse,708,0,W1
2023-09-17,Lakme Absolute Skin Natural Mousse,954,50,W1
2023-09-18,Lakme Absolute Skin Natural Mousse,830,50,W3
2023-09-19,Lakme Absolute Skin Natural Mousse,1151,50,W3
2023-09-20,Lakme Absolute Skin Natural Mousse,798,0,W3
2023-09-21,Lakme Absolute Skin Natural Mousse,527,0,W1
2023-09-22,Lakme Absolute Skin Natural Mousse,772,50,W1
2023-09-23,Lakme Absolute Skin Natural Mousse,1086,100,W2
2023-09-24,Lakme Absolute Skin Natural Mousse,1110,0,W2
2023-09-25,Lakme Absolute Skin Natural Mousse,500,0,W2
2023-09-26,Lakme Absolute Skin Natural Mousse,823,50,W3
2023-09-27,Lakme Absolute Skin Natural Mousse,805,100,W3
2023-09-28,Lakme Absolute Skin Natural Mousse,975,0,W3
2023-09-29,Lakme Absolute Skin Natural Mousse,903,50,W3
2023-09-30,Lakme Absolute Skin Natural Mousse,1086,0,W2
2023-10-01,Lakme Absolute Skin Natural Mousse,500,50,W2
2023-10-02,Lakme Absolute Skin Natural Mousse,734,0,W3
2023-10-03,Lakme Absolute Skin Natural Mousse,614,100,W1
2023-10-04,Lakme Absolute Skin Natural Mousse,883,200,W2
2023-10-05,Lakme Absolute Skin Natural Mousse,518,100,W3
2023-10-06,Lakme Absolute Skin Natural Mousse,822,0,W3
2023-10-07,Lakme Absolute Skin Natural Mousse,638,0,W2
2023-10-08,Lakme Absolute Skin Natural Mousse,846,200,W2
2023-10-09,Lakme Absolute Skin Natural Mousse,593,0,W1
2023-10-10,Lakme Absolute Skin Natural Mousse,897,200,W1
2023-10-11,Lakme Absolute Skin Natural Mousse,939,0,W1
2023-10-12,Lakme Absolute Skin Natural Mousse,659,50,W2
2023-10-13,Lakme Absolute Skin Natural Mousse,739,0,W1
2023-10-14,Lakme Absolute Skin Natural Mousse,537,0,W1
2023-10-15,Lakme Absolute Skin Natural Mousse,714,50,W2
2023-10-16,Lakme Absolute Skin Natural Mousse,504,50,W1
2023-10-17,Lakme Absolute Skin Natural Mousse,789,0,W2
2023-10-18,Lakme Absolute Skin Natural Mousse,632,0,W3
2023-10-19,Lakme Absolute Skin Natural Mousse,707,50,W1
2023-10-20,Lakme Absolute Skin Natural Mousse,597,50,W1
2023-10-21,Lakme Absolute Skin Natural Mousse,692,0,W1
2023-10-22,Lakme Absolute Skin Natural Mousse,1006,100,W3
2023-10-23,Lakme Absolute Skin Natural Mousse,706,50,W1
2023-10-24,Lakme Absolute Skin Natural Mousse,914,100,W3
2023-10-25,Lakme Absolute Skin Natural Mousse,728,50,W1
2023-10-26,Lakme Absolute Skin Natural Mousse,1029,50,W2
2023-10-27,Lakme Absolute Skin Natural Mousse,626,50,W3
2023-10-28,Lakme Absolute Skin Natural Mousse,1048,50,W2
2023-10-29,Lakme Absolute Skin Natural Mousse,1082,50,W3
2023-10-30,Lakme Absolute Skin Natural Mousse,718,100,W2
2023-10-31,Lakme Absolute Skin Natural Mousse,686,0,W3
2023-11-01,Lakme Absolute Skin Natural Mousse,751,0,W2
2023-11-02,Lakme Absolute Skin Natural Mousse,640,0,W3
2023-11-03,Lakme Absolute Skin Natural Mousse,1198,50,W3
2023-11-04,Lakme Absolute Skin Natural Mousse,593,50,W1
2023-11-05,Lakme Absolute Skin Natural Mousse,1117,0,W2
2023-11-06,Lakme Absolute Skin Natural Mousse,754,0,W2
2023-11-07,Lakme Absolute Skin Natural Mousse,1075,0,W3
2023-11-08,Lakme Absolute Skin Natural Mousse,1012,0,W1
2023-11-09,Lakme Absolute Skin Natural Mousse,732,0,W1
2023-11-10,Lakme Absolute Skin Natural Mousse,615,100,W3
2023-11-11,Lakme Absolute Skin Natural Mousse,1020,50,W2
2023-11-12,Lakme Absolute Skin Natural Mousse,550,50,W1
2023-11-13,Lakme Absolute Skin Natural Mousse,833,0,W2
2023-11-14,Lakme Absolute Skin Natural Mousse,934,0,W2
2023-11-15,Lakme Absolute Skin Natural Mousse,500,0,W2
2023-11-16,Lakme Absolute Skin Natural Mousse,884,0,W1
2023-11-17,Lakme Absolute Skin Natural Mousse,761,0,W2
2023-11-18,Lakme Absolute Skin Natural Mousse,540,50,W1
2023-11-19,Lakme Absolute Skin Natural Mousse,1095,0,W2
2023-11-20,Lakme Absolute Skin Natural Mousse,1184,0,W1
2023-11-21,Lakme Absolute Skin Natural Mousse,893,100,W2
2023-11-22,Lakme Absolute Skin Natural Mousse,922,100,W2
2023-11-23,Lakme Absolute Skin Natural Mousse,715,50,W3
2023-11-24,Lakme Absolute Skin Natural Mousse,655,0,W1
2023-11-25,Lakme Absolute Skin Natural Mousse,1018,100,W1
2023-11-26,Lakme Absolute Skin Natural Mousse,835,0,W3
2023-11-27,Lakme Absolute Skin Natural Mousse,817,50,W3
2023-11-28,Lakme Absolute Skin Natural Mousse,964,100,W1
2023-11-29,Lakme Absolute Skin Natural Mousse,599,100,W3
2023-11-30,Lakme Absolute Skin Natural Mousse,896,50,W2
2023-12-01,Lakme Absolute Skin Natural Mousse,1097,0,W2
2023-12-02,Lakme Absolute Skin Natural Mousse,732,0,W2
2023-12-03,Lakme Absolute Skin Natural Mousse,662,200,W2
2023-12-04,Lakme Absolute Skin Natural Mousse,631,0,W1
2023-12-05,Lakme Absolute Skin Natural Mousse,663,100,W3
2023-12-06,Lakme Absolute Skin Natural Mousse,767,0,W1
2023-12-07,Lakme Absolute Skin Natural Mousse,713,100,W1
2023-12-08,Lakme Absolute Skin Natural Mousse,677,50,W2
2023-12-09,Lakme Absolute Skin Natural Mousse,937,0,W2
2023-12-10,Lakme Absolute Skin Natural Mousse,956,50,W3
2023-12-11,Lakme Absolute Skin Natural Mousse,626,0,W3
2023-12-12,Lakme Absolute Skin Natural Mousse,1015,200,W1
2023-12-13,Lakme Absolute Skin Natural Mousse,949,0,W3
2023-12-14,Lakme Absolute Skin Natural Mousse,877,0,W3
2023-12-15,Lakme Absolute Skin Natural Mousse,729,0,W1
2023-12-16,Lakme Absolute Skin Natural Mousse,775,100,W2
2023-12-17,Lakme Absolute Skin Natural Mousse,947,0,W3
2023-12-18,Lakme Absolute Skin Natural Mousse,1016,0,W1
2023-12-19,Lakme Absolute Skin Natural Mousse,793,0,W3
2023-12-20,Lakme Absolute Skin Natural Mousse,872,50,W2
2023-12-21,Lakme Absolute Skin Natural Mousse,648,50,W2
2023-12-22,Lakme Absolute Skin Natural Mousse,890,0,W2
2023-12-23,Lakme Absolute Skin Natural Mousse,1002,50,W1
2023-12-24,Lakme Absolute Skin Natural Mousse,911,0,W2
2023-12-25,Lakme Absolute Skin Natural Mousse,588,0,W2
2023-12-26,Lakme Absolute Skin Natural Mousse,841,0,W3
2023-12-27,Lakme Absolute Skin Natural Mousse,671,50,W2
2023-12-28,Lakme Absolute Skin Natural Mousse,559,50,W2
2023-12-29,Lakme Absolute Skin Natural Mousse,844,50,W2
2023-12-30,Lakme Absolute Skin Natural Mousse,983,0,W1
2023-12-31,Lakme Absolute Skin Natural Mousse,932,100,W1
2023-01-01,Lakme Absolute Skin Natural Mousse,891,0,W2
2023-01-02,Lakme Absolute Skin Natural Mousse,931,0,W3
2023-01-03,Lakme Absolute Skin Natural Mousse,873,0,W2
2023-01-04,Lakme Absolute Skin Natural Mousse,706,0,W2
2023-01-05,Lakme Absolute Skin Natural Mousse,812,50,W2
2023-01-06,Lakme Absolute Skin Natural Mousse,593,0,W2
2023-01-07,Lakme Absolute Skin Natural Mousse,612,0,W1
2023-01-08,Lakme Absolute Skin Natural Mousse,741,0,W2
2023-01-09,Lakme Absolute Skin Natural Mousse,944,50,W1
2023-01-10,Lakme Absolute Skin Natural Mousse,1050,0,W1
2023-01-11,Lakme Absolute Skin Natural Mousse,1149,0,W3
2023-01-12,Lakme Absolute Skin Natural Mousse,724,0,W2
2023-01-13,Lakme Absolute Skin Natural Mousse,946,50,W3
2023-01-14,Lakme Absolute Skin Natural Mousse,983,0,W1
2023-01-15,Lakme Absolute Skin Natural Mousse,907,50,W3
2023-01-16,Lakme Absolute Skin Natural Mousse,761,0,W2
2023-01-17,Lakme Absolute Skin Natural Mousse,500,50,W2
2023-01-18,Lakme Absolute Skin Natural Mousse,500,0,W1
2023-01-19,Lakme Absolute Skin Natural Mousse,549,200,W2
2023-01-20,Lakme Absolute Skin Natural Mousse,663,50,W1
2023-01-21,Lakme Absolute Skin Natural Mousse,818,0,W3
2023-01-22,Lakme Absolute Skin Natural Mousse,730,50,W2
2023-01-23,Lakme Absolute Skin Natural Mousse,1009,50,W2
2023-01-24,Lakme Absolute Skin Natural Mousse,500,0,W3
2023-01-25,Lakme Absolute Skin Natural Mousse,930,0,W1
2023-01-26,Lakme Absolute Skin Natural Mousse,941,50,W1
2023-01-27,Lakme Absolute Skin Natural Mousse,964,0,W1
2023-01-28,Lakme Absolute Skin Natural Mousse,1050,200,W1
2023-01-29,Lakme Absolute Skin Natural Mousse,709,100,W1
2023-01-30,Lakme Absolute Skin Natural Mousse,500,100,W3
2023-01-31,Lakme Absolute Skin Natural Mousse,1107,0,W2
2023-02-01,Lakme Absolute Skin Natural Mousse,517,0,W1
2023-02-02,Lakme Absolute Skin Natural Mousse,768,100,W2
2023-02-03,Lakme Absolute Skin Natural Mousse,985,0,W1
2023-02-04,Lakme Absolute Skin Natural Mousse,562,50,W2
2023-02-05,Lakme Absolute Skin Natural Mousse,500,0,W2
2023-02-06,Lakme Absolute Skin Natural Mousse,755,0,W2
2023-02-07,Lakme Absolute Skin Natural Mousse,500,0,W3
2023-02-08,Lakme Absolute Skin Natural Mousse,608,0,W2
2023-02-09,Lakme Absolute Skin Natural Mousse,961,50,W3
2023-02-10,Lakme Absolute Skin Natural Mousse,520,50,W2
2023-02-11,Lakme Absolute Skin Natural Mousse,849,0,W1
2023-02-12,Lakme Absolute Skin Natural Mousse,672,0,W3
2023-02-13,Lakme Absolute Skin Natural Mousse,591,50,W3
2023-02-14,Lakme Absolute Skin Natural Mousse,750,0,W1
2023-02-15,Lakme Absolute Skin Natural Mousse,879,0,W3
2023-02-16,Lakme Absolute Skin Natural Mousse,769,0,W1
2023-02-17,Lakme Absolute Skin Natural Mousse,608,50,W2
2023-02-18,Lakme Absolute Skin Natural Mousse,583,0,W1
2023-02-19,Lakme Absolute Skin Natural Mousse,500,0,W1
2023-02-20,Lakme Absolute Skin Natural Mousse,500,0,W1
2023-02-21,Lakme Absolute Skin Natural Mousse,1191,0,W1
2023-02-22,Lakme Absolute Skin Natural Mousse,1129,50,W1
2023-02-23,Lakme Absolute Skin Natural Mousse,915,50,W2
2023-02-24,Lakme Absolute Skin Natural Mousse,800,50,W2
