date,product_id,sales_units,price,discount,stock_level,rating,is_sale_period,holiday,weather,ad_spend,initial_stock,daily_restock,warehouse_id
2023-01-06,Revlon Colorstay Liquid Eyeliner,26,4360.02,22.02,599,4.2,0,0,Sunny,37968.92,671,50,W1
2023-01-06,Maybelline Superstay Matte Ink Lipstick,51,1286.7,13.24,223,3.6,0,0,Stormy,46968.44,655,50,W3
2023-01-06,MAC Studio Fix Powder Plus Foundation,62,3531.97,21.9,652,4.4,1,0,Sunny,10625.99,956,0,W3
2023-01-06,Lakme Absolute Skin Natural Mousse,33,3714.75,10.24,140,3.7,0,0,Sunny,28854.58,854,50,W2
2023-01-06,L'Oreal Paris Voluminous Mascara,70,1078.4,0.81,279,4.4,0,0,Sunny,14123.34,631,0,W3
2023-01-06,Clinique Moisture Surge Hydrator,46,4443.55,6.29,386,4.5,0,0,Rainy,21533.94,681,0,W3
2023-01-07,L'Oreal Paris Voluminous Mascara,52,3731.88,25.34,921,4.1,0,0,Rainy,8949.61,973,0,W2
2023-01-07,Bobbi Brown Instant Full Cover Concealer,43,4237.97,15.57,529,4.6,0,0,Sunny,21608.04,604,100,W1
2023-01-07,The Ordinary Niacinamide 10% + Zinc 1% Serum,68,1507.97,0.39,447,3.9,0,0,Snowy,43450.62,894,50,W3
2023-01-07,Lakme Absolute Skin Natural Mousse,23,2388.68,10.14,48,3.9,0,0,Sunny,9604.36,820,50,W3
2023-01-07,Revlon Colorstay Liquid Eyeliner,49,3897.81,16.03,202,4.2,0,0,Sunny,32606.49,707,0,W3
2023-01-07,Clinique Moisture Surge Hydrator,42,4697.41,6.94,395,4.6,0,0,Stormy,31199.26,946,50,W2
2023-01-07,Maybelline Superstay Matte Ink Lipstick,41,3004.33,8.29,368,4.5,1,0,Stormy,24343.64,548,50,W2
2023-01-07,Huda Beauty Rose Gold Remastered Eyeshadow,16,573.96,2.77,247,4.2,0,1,Snowy,46024.65,938,0,W3
2023-01-08,Maybelline Superstay Matte Ink Lipstick,50,1103.48,11.69,456,3.7,0,0,Sunny,45366.77,954,50,W1
2023-01-08,Revlon Colorstay Liquid Eyeliner,14,1652.68,29.31,388,4.5,0,0,Sunny,45371.11,650,0,W1
2023-01-08,Nykaa Matte Nail Enamel,52,3124.3,20.78,433,4.8,0,1,Rainy,7593.27,733,100,W2
2023-01-08,Bobbi Brown Instant Full Cover Concealer,45,924.28,12.9,676,3.6,1,1,Sunny,34490.16,721,0,W1
2023-01-08,Huda Beauty Rose Gold Remastered Eyeshadow,53,3929.0,21.13,277,3.7,0,0,Sunny,48791.62,972,0,W2
2023-01-08,Lakme Absolute Skin Natural Mousse,56,4386.46,20.75,862,4.4,0,0,Stormy,24936.11,988,100,W3
2023-01-08,The Ordinary Niacinamide 10% + Zinc 1% Serum,53,1084.15,12.28,394,3.6,0,0,Sunny,6303.56,924,50,W1
2023-01-08,MAC Studio Fix Powder Plus Foundation,49,4016.37,1.33,340,4.3,0,0,Sunny,24327.62,819,50,W1
2023-01-09,Huda Beauty Rose Gold Remastered Eyeshadow,49,4321.08,18.05,922,4.8,0,0,Snowy,49405.31,971,50,W2
2023-01-09,L'Oreal Paris Voluminous Mascara,47,2156.99,18.63,389,4.6,1,0,Sunny,33784.97,913,50,W1
2023-01-09,Lakme Absolute Skin Natural Mousse,68,4525.07,5.15,738,3.9,1,0,Snowy,36659.9,806,0,W3
2023-01-09,Bobbi Brown Instant Full Cover Concealer,34,4165.39,18.89,740,3.6,1,0,Snowy,46576.73,774,50,W3
2023-01-09,MAC Studio Fix Powder Plus Foundation,45,1384.06,10.73,623,4.1,0,0,Sunny,26893.28,982,100,W2
2023-01-10,Clinique Moisture Surge Hydrator,64,3650.14,25.8,258,3.5,0,1,Sunny,9484.73,593,50,W3
2023-01-10,MAC Studio Fix Powder Plus Foundation,42,3863.18,29.61,580,4.5,0,0,Sunny,41433.4,632,0,W2
2023-01-10,Revlon Colorstay Liquid Eyeliner,88,2318.14,17.13,673,4.9,0,0,Stormy,28778.67,873,0,W1
2023-01-10,Huda Beauty Rose Gold Remastered Eyeshadow,58,4059.37,1.58,419,4.6,0,0,Sunny,31564.12,500,0,W1
2023-01-10,Maybelline Superstay Matte Ink Lipstick,25,1402.15,19.94,738,4.8,0,0,Rainy,25207.31,763,0,W3
2023-01-10,L'Oreal Paris Voluminous Mascara,69,4498.46,2.16,635,3.7,0,0,Sunny,39054.67,704,50,W3
2023-01-10,Nykaa Matte Nail Enamel,61,1049.86,6.24,513,3.8,1,0,Rainy,43053.97,574,0,W3
2023-01-11,Revlon Colorstay Liquid Eyeliner,46,3878.7,1.95,314,4.9,1,0,Snowy,40325.37,874,100,W3
2023-01-11,Clinique Moisture Surge Hydrator,82,1070.95,15.33,305,4.4,0,0,Rainy,34139.99,893,50,W1
2023-01-11,Nykaa Matte Nail Enamel,57,3388.36,14.75,784,4.8,0,0,Sunny,8250.91,841,100,W1
2023-01-11,MAC Studio Fix Powder Plus Foundation,51,2705.65,26.52,261,4.7,0,0,Sunny,10085.53,703,0,W1
2023-01-11,L'Oreal Paris Voluminous Mascara,60,3940.16,3.35,572,4.6,0,1,Stormy,18870.35,632,0,W3
2023-01-11,Bobbi Brown Instant Full Cover Concealer,57,3379.71,27.21,314,4.6,1,0,Stormy,15057.76,793,0,W2
2023-01-11,Huda Beauty Rose Gold Remastered Eyeshadow,24,2214.6,24.72,415,3.9,0,0,Snowy,16760.11,666,50,W3
2023-01-11,Lakme Absolute Skin Natural Mousse,78,4523.08,26.15,603,3.7,0,0,Stormy,22598.58,685,100,W3
2023-01-11,The Ordinary Niacinamide 10% + Zinc 1% Serum,36,4932.66,18.46,540,4.5,0,0,Rainy,11320.56,928,50,W3
2023-01-12,L'Oreal Paris Voluminous Mascara,62,2444.45,14.7,742,4.3,0,0,Rainy,33871.27,804,0,W3
2023-01-12,Revlon Colorstay Liquid Eyeliner,53,2841.73,26.75,487,3.9,0,0,Rainy,34911.01,993,50,W2
2023-01-12,The Ordinary Niacinamide 10% + Zinc 1% Serum,56,2852.22,24.86,901,4.7,0,0,Sunny,12982.34,957,0,W3
2023-01-12,Maybelline Superstay Matte Ink Lipstick,40,2504.45,19.86,434,4.5,0,0,Sunny,25363.21,637,0,W3
2023-01-12,Clinique Moisture Surge Hydrator,97,4492.01,23.09,917,3.5,0,0,Snowy,24502.31,1014,50,W2
2023-01-12,Nykaa Matte Nail Enamel,75,4911.57,10.47,484,4.8,1,0,Stormy,48481.98,656,100,W2
2023-01-12,Bobbi Brown Instant Full Cover Concealer,68,2936.49,14.42,726,4.8,0,0,Sunny,12117.31,951,0,W1
2023-01-13,MAC Studio Fix Powder Plus Foundation,19,610.82,28.96,605,3.9,0,0,Sunny,19082.93,973,50,W2
2023-01-13,Maybelline Superstay Matte Ink Lipstick,36,2254.3,26.55,237,4.5,0,1,Stormy,12160.01,557,100,W1
2023-01-13,Revlon Colorstay Liquid Eyeliner,58,1481.63,18.15,390,4.6,0,0,Sunny,48535.46,767,50,W1
2023-01-13,Lakme Absolute Skin Natural Mousse,53,4235.03,27.16,498,4.4,1,1,Sunny,10905.01,551,50,W2
2023-01-13,Huda Beauty Rose Gold Remastered Eyeshadow,50,3541.26,9.94,438,3.7,0,0,Sunny,34359.87,830,0,W2
2023-01-13,Nykaa Matte Nail Enamel,17,4176.77,24.35,413,4.7,0,0,Snowy,23709.46,614,50,W1
2023-01-13,L'Oreal Paris Voluminous Mascara,77,3453.48,6.13,678,4.4,0,0,Sunny,9865.27,755,50,W2
2023-01-13,Bobbi Brown Instant Full Cover Concealer,44,3634.05,12.8,590,4.3,0,0,Snowy,35104.54,666,0,W2
2023-01-13,Clinique Moisture Surge Hydrator,22,4010.48,1.36,525,4.4,0,0,Sunny,44133.26,802,100,W3
2023-01-14,Nykaa Matte Nail Enamel,28,3206.54,14.73,622,4.5,0,0,Stormy,22787.07,777,0,W3
2023-01-14,Lakme Absolute Skin Natural Mousse,59,2372.54,0.92,665,4.7,1,0,Sunny,7336.77,811,0,W1
2023-01-14,Maybelline Superstay Matte Ink Lipstick,41,2596.84,9.04,767,3.5,0,0,Rainy,34812.11,887,0,W2
2023-01-14,Clinique Moisture Surge Hydrator,44,2742.54,0.39,347,5.0,1,0,Sunny,31663.32,893,0,W2
2023-01-14,Huda Beauty Rose Gold Remastered Eyeshadow,27,2391.27,14.76,247,4.4,0,1,Sunny,38877.42,947,50,W1
2023-01-15,Nykaa Matte Nail Enamel,70,4210.74,15.52,873,4.2,1,0,Rainy,16525.08,943,50,W2
2023-01-15,Bobbi Brown Instant Full Cover Concealer,55,570.43,4.52,457,4.5,0,0,Stormy,38981.18,930,50,W1
2023-01-15,MAC Studio Fix Powder Plus Foundation,82,2021.57,7.52,660,4.4,0,1,Sunny,34132.39,992,0,W2
2023-01-15,L'Oreal Paris Voluminous Mascara,36,1259.64,0.78,651,3.7,0,0,Snowy,7564.7,817,100,W2
2023-01-15,Huda Beauty Rose Gold Remastered Eyeshadow,43,705.16,27.13,374,3.8,0,0,Snowy,49137.69,589,0,W1
2023-01-15,Clinique Moisture Surge Hydrator,65,2600.73,20.84,553,5.0,0,0,Stormy,48739.1,662,0,W2
2023-01-15,Maybelline Superstay Matte Ink Lipstick,10,599.46,2.64,572,3.7,0,1,Sunny,22310.26,582,50,W1
2023-01-16,Clinique Moisture Surge Hydrator,63,4932.42,4.06,759,4.6,0,0,Sunny,48592.29,822,0,W1
2023-01-16,L'Oreal Paris Voluminous Mascara,64,3606.38,3.13,436,4.1,0,0,Stormy,24057.84,560,0,W1
2023-01-16,Nykaa Matte Nail Enamel,41,3947.97,25.0,801,3.5,0,0,Sunny,23400.38,997,100,W3
2023-01-16,The Ordinary Niacinamide 10% + Zinc 1% Serum,37,802.99,9.65,345,4.2,1,0,Sunny,12796.9,683,0,W1
2023-01-16,Huda Beauty Rose Gold Remastered Eyeshadow,59,779.71,2.11,537,4.9,0,0,Sunny,9003.39,667,0,W3
2023-01-17,Nykaa Matte Nail Enamel,56,923.43,0.77,744,4.8,0,0,Snowy,26107.9,800,0,W3
2023-01-17,L'Oreal Paris Voluminous Mascara,54,2702.49,19.83,503,4.1,0,0,Sunny,36488.7,593,50,W2
2023-01-17,Bobbi Brown Instant Full Cover Concealer,28,3709.17,4.23,587,3.6,0,0,Snowy,16897.47,615,50,W1
2023-01-17,Revlon Colorstay Liquid Eyeliner,43,3273.17,27.51,702,3.9,0,1,Snowy,6811.23,944,0,W1
2023-01-17,Maybelline Superstay Matte Ink Lipstick,36,3977.98,13.46,569,4.3,0,0,Snowy,49758.13,605,0,W3
2023-01-18,Nykaa Matte Nail Enamel,42,2431.83,9.77,716,4.0,0,0,Sunny,28757.55,758,50,W2
2023-01-18,The Ordinary Niacinamide 10% + Zinc 1% Serum,29,4159.78,11.73,855,4.0,0,0,Rainy,33793.78,884,50,W1
2023-01-18,Bobbi Brown Instant Full Cover Concealer,63,4013.59,12.61,540,3.8,0,0,Rainy,34013.16,941,50,W3
2023-01-18,Lakme Absolute Skin Natural Mousse,31,1744.64,2.1,397,4.2,1,0,Rainy,18330.67,766,0,W1
2023-01-18,Maybelline Superstay Matte Ink Lipstick,39,2009.36,12.58,177,3.7,0,0,Snowy,23719.98,942,0,W1
2023-01-18,Huda Beauty Rose Gold Remastered Eyeshadow,40,1122.12,15.65,255,3.8,1,0,Rainy,34762.1,762,0,W1
2023-01-18,L'Oreal Paris Voluminous Mascara,91,4913.46,20.95,459,4.9,1,0,Snowy,47791.84,581,50,W1
2023-01-18,Clinique Moisture Surge Hydrator,55,2912.66,21.57,485,4.8,0,0,Sunny,32255.91,687,0,W3
2023-01-18,Revlon Colorstay Liquid Eyeliner,25,1441.59,24.78,458,4.4,0,0,Snowy,6209.47,832,50,W3
2023-01-19,Revlon Colorstay Liquid Eyeliner,40,3268.15,25.69,356,3.5,0,0,Rainy,20961.64,688,0,W3
2023-01-19,The Ordinary Niacinamide 10% + Zinc 1% Serum,44,4822.87,23.37,568,3.6,0,0,Rainy,30935.09,876,0,W2
2023-01-19,Huda Beauty Rose Gold Remastered Eyeshadow,35,1249.82,18.67,184,4.7,0,0,Snowy,29170.46,870,200,W1
2023-01-19,Bobbi Brown Instant Full Cover Concealer,53,1636.63,10.77,400,4.4,0,1,Stormy,42802.52,803,50,W1
2023-01-19,MAC Studio Fix Powder Plus Foundation,59,894.72,4.08,310,4.8,0,1,Sunny,46293.14,862,0,W3
2023-01-19,Clinique Moisture Surge Hydrator,45,3232.0,1.45,9,4.4,0,0,Rainy,41121.88,964,50,W3
2023-01-19,Maybelline Superstay Matte Ink Lipstick,31,2758.15,1.82,688,3.9,1,0,Sunny,47061.74,908,0,W2
2023-01-20,Maybelline Superstay Matte Ink Lipstick,68,4200.85,25.08,531,4.1,1,0,Sunny,20703.76,951,0,W2
2023-01-20,Lakme Absolute Skin Natural Mousse,30,782.98,14.72,444,3.9,0,0,Rainy,42393.28,972,200,W1
2023-01-20,Clinique Moisture Surge Hydrator,48,4181.28,12.34,109,4.0,1,0,Sunny,49409.86,579,50,W2
2023-01-20,Bobbi Brown Instant Full Cover Concealer,62,807.29,6.41,453,4.0,1,0,Snowy,23827.57,851,50,W1
2023-01-20,MAC Studio Fix Powder Plus Foundation,60,2753.37,7.34,149,3.9,0,0,Sunny,39173.15,690,50,W3
2023-01-20,The Ordinary Niacinamide 10% + Zinc 1% Serum,30,3804.51,4.11,332,4.6,1,0,Snowy,8340.56,703,50,W2
2023-01-20,Huda Beauty Rose Gold Remastered Eyeshadow,34,3774.61,3.55,230,4.4,0,0,Rainy,46918.19,892,0,W2
2023-01-20,L'Oreal Paris Voluminous Mascara,48,1052.02,26.37,377,4.7,0,0,Sunny,28982.82,902,0,W3
2023-01-21,Huda Beauty Rose Gold Remastered Eyeshadow,11,4595.01,9.38,643,4.0,0,0,Sunny,18056.8,654,0,W2
2023-01-21,Bobbi Brown Instant Full Cover Concealer,34,2697.9,2.84,0,3.6,0,0,Stormy,15242.81,641,100,W2
2023-01-21,Nykaa Matte Nail Enamel,48,4689.33,22.32,544,4.9,0,0,Sunny,45219.72,592,100,W1
2023-01-21,The Ordinary Niacinamide 10% + Zinc 1% Serum,20,681.89,10.19,200,4.3,0,0,Sunny,22710.14,698,100,W2
2023-01-21,Lakme Absolute Skin Natural Mousse,23,1924.04,25.16,545,4.7,0,0,Sunny,28985.14,845,0,W3
2023-01-21,Clinique Moisture Surge Hydrator,48,1667.26,21.48,813,4.6,1,0,Sunny,26811.11,861,50,W2
2023-01-21,MAC Studio Fix Powder Plus Foundation,39,1528.07,11.45,365,4.1,0,0,Snowy,33425.18,862,0,W2
2023-01-21,Revlon Colorstay Liquid Eyeliner,34,1839.21,12.4,538,4.0,0,0,Rainy,40412.72,783,0,W2
2023-01-22,Bobbi Brown Instant Full Cover Concealer,49,3985.87,16.8,828,4.5,1,0,Stormy,20804.93,877,50,W3
2023-01-22,Maybelline Superstay Matte Ink Lipstick,31,2483.35,9.83,563,4.5,0,0,Rainy,7918.05,743,50,W1
2023-01-22,Huda Beauty Rose Gold Remastered Eyeshadow,16,1711.61,13.11,531,3.6,0,0,Snowy,36223.03,833,0,W2
2023-01-22,MAC Studio Fix Powder Plus Foundation,51,945.26,12.17,454,4.3,0,0,Sunny,19705.57,947,0,W1
2023-01-22,The Ordinary Niacinamide 10% + Zinc 1% Serum,50,3533.67,23.29,689,4.4,0,0,Stormy,23763.3,878,100,W3
2023-01-22,Lakme Absolute Skin Natural Mousse,80,1711.57,13.02,717,3.9,0,0,Snowy,25095.07,994,0,W1
2023-01-22,Nykaa Matte Nail Enamel,61,3684.23,10.09,624,3.7,0,0,Snowy,7136.52,934,50,W1
2023-01-22,L'Oreal Paris Voluminous Mascara,77,643.97,1.05,324,4.1,0,0,Sunny,25486.52,651,0,W3
2023-01-23,Revlon Colorstay Liquid Eyeliner,41,912.53,6.18,366,3.7,0,0,Stormy,31263.61,638,50,W2
2023-01-23,MAC Studio Fix Powder Plus Foundation,71,3373.05,21.51,491,4.4,1,0,Snowy,29281.65,562,0,W2
2023-01-23,Maybelline Superstay Matte Ink Lipstick,30,1878.2,14.29,791,4.7,0,0,Rainy,16811.63,821,50,W2
2023-01-23,Clinique Moisture Surge Hydrator,50,2493.34,5.52,498,4.9,0,1,Rainy,27283.53,743,50,W3
2023-01-23,Bobbi Brown Instant Full Cover Concealer,17,4919.64,3.6,513,3.7,1,0,Stormy,32210.58,956,50,W3
2023-01-24,Revlon Colorstay Liquid Eyeliner,75,3626.89,13.34,565,4.5,0,1,Sunny,11732.82,645,0,W1
2023-01-24,Nykaa Matte Nail Enamel,62,1455.26,5.78,700,3.9,1,0,Rainy,45661.37,762,0,W1
2023-01-24,Clinique Moisture Surge Hydrator,86,1634.37,14.32,611,4.0,1,0,Stormy,40132.92,982,0,W3
2023-01-24,MAC Studio Fix Powder Plus Foundation,54,4735.15,23.75,285,4.8,0,0,Rainy,40233.11,756,50,W3
2023-01-24,Huda Beauty Rose Gold Remastered Eyeshadow,44,3694.39,19.33,600,4.3,0,0,Sunny,39719.38,839,50,W1
2023-01-24,Bobbi Brown Instant Full Cover Concealer,52,3812.66,22.5,197,3.6,0,0,Sunny,22948.64,973,0,W1
2023-01-24,Maybelline Superstay Matte Ink Lipstick,41,3777.01,18.29,436,4.7,0,0,Sunny,31399.15,519,50,W1
2023-01-24,Lakme Absolute Skin Natural Mousse,77,1749.25,5.02,54,5.0,1,0,Sunny,45796.99,973,50,W1
2023-01-24,L'Oreal Paris Voluminous Mascara,39,1809.13,26.42,749,3.9,0,0,Sunny,37083.28,788,0,W1
2023-01-25,The Ordinary Niacinamide 10% + Zinc 1% Serum,57,3329.46,24.87,454,3.8,0,0,Snowy,15809.06,994,50,W1
2023-01-25,Maybelline Superstay Matte Ink Lipstick,37,4073.62,25.49,204,3.6,0,0,Sunny,42076.62,984,50,W1
2023-01-25,Bobbi Brown Instant Full Cover Concealer,65,3252.23,24.44,550,3.5,0,0,Rainy,42763.89,763,0,W3
2023-01-25,Huda Beauty Rose Gold Remastered Eyeshadow,34,3274.08,1.64,439,4.1,0,0,Sunny,12664.51,904,0,W3
2023-01-25,L'Oreal Paris Voluminous Mascara,91,2666.8,15.0,720,4.4,0,0,Snowy,25323.66,811,0,W1
2023-01-26,The Ordinary Niacinamide 10% + Zinc 1% Serum,49,1270.24,14.55,792,3.8,0,0,Sunny,14630.22,841,50,W1
2023-01-26,L'Oreal Paris Voluminous Mascara,24,2050.35,11.47,371,3.9,0,0,Rainy,8300.98,628,50,W2
2023-01-26,Clinique Moisture Surge Hydrator,64,3843.54,23.32,638,4.9,0,0,Sunny,43220.79,818,200,W2
2023-01-26,Bobbi Brown Instant Full Cover Concealer,27,2608.78,0.55,277,4.0,0,0,Sunny,38906.36,687,50,W3
2023-01-26,Lakme Absolute Skin Natural Mousse,52,1376.12,2.1,292,3.6,0,0,Rainy,38347.11,937,0,W2
2023-01-26,MAC Studio Fix Powder Plus Foundation,49,2420.76,27.09,378,3.9,0,0,Rainy,11876.29,575,0,W2
2023-01-26,Revlon Colorstay Liquid Eyeliner,34,3034.63,4.38,609,4.1,0,0,Stormy,48238.69,643,0,W1
2023-01-26,Maybelline Superstay Matte Ink Lipstick,20,4990.94,15.88,1045,4.1,1,0,Snowy,28381.09,1065,100,W1
2023-01-27,The Ordinary Niacinamide 10% + Zinc 1% Serum,99,1060.31,10.8,547,4.2,0,0,Stormy,47629.01,646,100,W1
2023-01-27,Nykaa Matte Nail Enamel,57,3613.13,28.18,564,4.7,0,0,Sunny,23289.11,781,0,W1
2023-01-27,Revlon Colorstay Liquid Eyeliner,85,4617.69,20.67,534,4.8,1,1,Sunny,30385.4,875,0,W3
2023-01-27,Bobbi Brown Instant Full Cover Concealer,71,4193.01,0.6,247,4.8,0,0,Rainy,49767.33,942,0,W3
2023-01-27,Maybelline Superstay Matte Ink Lipstick,41,4924.31,0.54,635,4.3,1,0,Sunny,49907.32,676,100,W3
2023-01-27,Lakme Absolute Skin Natural Mousse,76,1611.35,17.55,734,4.0,0,1,Sunny,27775.68,810,100,W3
2023-01-28,Maybelline Superstay Matte Ink Lipstick,8,2372.12,22.64,450,4.3,0,0,Sunny,48946.74,675,0,W3
2023-01-28,Clinique Moisture Surge Hydrator,44,4565.46,12.65,484,4.5,0,0,Sunny,35617.17,607,0,W3
2023-01-28,MAC Studio Fix Powder Plus Foundation,42,3660.64,13.23,349,4.4,1,1,Snowy,46946.31,780,100,W3
2023-01-28,Lakme Absolute Skin Natural Mousse,50,2667.66,19.22,376,4.1,0,0,Rainy,28307.97,885,100,W2
2023-01-28,Huda Beauty Rose Gold Remastered Eyeshadow,59,4627.03,18.9,443,4.5,0,0,Snowy,25935.81,923,50,W3
2023-01-28,L'Oreal Paris Voluminous Mascara,35,3453.13,13.17,574,4.8,0,0,Sunny,42755.44,828,100,W3
2023-01-28,The Ordinary Niacinamide 10% + Zinc 1% Serum,48,4976.7,14.62,494,4.9,0,0,Sunny,11133.7,597,50,W3
2023-01-29,Huda Beauty Rose Gold Remastered Eyeshadow,67,2976.42,0.28,612,4.8,0,0,Snowy,21814.88,910,0,W2
2023-01-29,Clinique Moisture Surge Hydrator,40,1868.95,2.92,675,3.6,0,0,Sunny,14030.82,715,200,W2
2023-01-29,L'Oreal Paris Voluminous Mascara,2,2431.0,0.61,419,5.0,0,0,Sunny,21719.21,949,0,W2
2023-01-29,Bobbi Brown Instant Full Cover Concealer,60,2815.76,26.95,439,4.1,0,0,Sunny,39924.91,532,50,W1
2023-01-29,Revlon Colorstay Liquid Eyeliner,72,1354.4,5.83,416,4.4,1,0,Snowy,43585.18,526,0,W2
2023-01-30,Huda Beauty Rose Gold Remastered Eyeshadow,64,1731.37,5.61,389,4.3,1,0,Snowy,41131.98,604,100,W1
2023-01-30,Clinique Moisture Surge Hydrator,46,4587.26,27.78,1005,4.9,1,0,Sunny,37804.9,1051,0,W3
2023-01-30,The Ordinary Niacinamide 10% + Zinc 1% Serum,27,2424.88,9.38,563,4.2,0,1,Sunny,8676.16,590,0,W1
2023-01-30,Maybelline Superstay Matte Ink Lipstick,79,3306.7,6.88,797,3.8,1,0,Sunny,26387.52,876,0,W3
2023-01-30,MAC Studio Fix Powder Plus Foundation,50,2781.32,3.73,804,4.9,1,0,Sunny,45208.1,967,0,W1
2023-01-30,Bobbi Brown Instant Full Cover Concealer,73,2155.97,26.62,313,3.9,0,0,Snowy,6112.3,692,50,W2
2023-01-31,Nykaa Matte Nail Enamel,40,790.3,16.8,694,4.2,0,0,Rainy,45842.51,734,50,W2
2023-01-31,Revlon Colorstay Liquid Eyeliner,51,2788.93,6.77,389,4.7,0,0,Rainy,11305.15,561,0,W1
2023-01-31,Lakme Absolute Skin Natural Mousse,43,2252.23,23.98,468,4.4,0,0,Sunny,40559.9,598,50,W3
2023-01-31,Huda Beauty Rose Gold Remastered Eyeshadow,47,1547.61,19.57,1005,4.5,1,0,Rainy,24756.74,1052,100,W2
2023-01-31,Maybelline Superstay Matte Ink Lipstick,33,1629.72,1.6,514,3.7,1,1,Stormy,6758.31,624,50,W2
2023-01-31,Clinique Moisture Surge Hydrator,19,1901.06,9.65,663,4.8,1,0,Sunny,18029.62,866,100,W3
2023-01-31,Bobbi Brown Instant Full Cover Concealer,89,3206.52,16.94,546,4.4,0,0,Sunny,36925.09,977,0,W2
